crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1045571,4531,03D,,600,No Affidavit,Unsustained,0,1125,17,145,S CAMPBELL AVE,CHICAGO IL,2011-05-20 09:30:00,2011-05-21,2011-07-26,106,not-sustained
1063186,4531,05L,,600,No Affidavit,Unsustained,0,1223,17,115,N OAKLEY BLVD,CHICAGO IL,2013-06-29 07:30:00,2013-06-29,2013-08-09,1298,not-sustained
1050058,4532,10U,,600,No Affidavit,Unsustained,0,0132,17,,E 8TH ST,CHICAGO IL 60605,2011-11-16 00:00:00,2011-11-16,2012-01-06,514,not-sustained
1050083,4532,03G,NS,600,Not Sustained,Unsustained,0,1832,11,800,N STATE ST,CHICAGO IL 60610,2011-11-12 00:00:00,2011-11-17,2012-05-24,316,not-sustained
1051535,4532,10U,,600,No Affidavit,Unsustained,0,0113,17,300,S STATE ST,CHICAGO IL,2012-01-29 08:01:00,2012-01-29,2012-04-25,266,not-sustained
1062413,4532,03B,,600,No Affidavit,Unsustained,0,0111,17,150,N MICHIGAN AVE,CHICAGO IL 60601,2013-05-22 00:00:00,2013-05-22,2013-08-07,266,not-sustained
1050302,4533,10B,SU,015,Sustained,15,15,0213,04,3510,S MICHIGAN AVE,CHICAGO IL 60653,2011-10-19 11:00:00,2011-11-28,2014-08-21,919,disciplined
1055930,4533,05A,UN,600,Unfounded,Unsustained,0,0634,17,,W 95TH ST,CHICAGO IL,2012-07-30 07:30:00,2012-07-30,2014-07-09,613,not-sustained
1068840,4533,10U,,600,No Affidavit,Unsustained,0,1924,17,1000,W BELMONT AVE,CHICAGO IL,2014-04-25 03:00:00,2014-04-28,2014-06-18,1062,not-sustained
1045513,4534,,,,Unknown,Unknown,?,0726,17,6400,S WOOD ST,CHICAGO IL 60636,2011-05-17 22:30:00,2011-05-18,,657,open-investigation
1052430,4534,,,,Unknown,Unknown,?,0111,03,,W WASHINGTON ST,CHICAGO IL,2012-03-06 11:30:00,2012-03-08,,1468,open-investigation
1053682,4534,05A,NS,600,Not Sustained,Unsustained,0,1114,17,4100,W WEST END AVE,CHICAGO IL 60624,2012-04-27 20:00:00,2012-04-30,2014-01-30,771,not-sustained
1072141,4534,09J,,,Unknown,Unknown,?,,XX,,,CHICAGO IL,2014-10-21 00:00:00,2014-10-21,2014-11-18,567,unknown
1044843,4535,10P,UN,600,Unfounded,Unsustained,0,2212,04,1900,W MONTEREY AVE,CHICAGO IL,2011-04-20 10:00:00,2011-04-20,2011-08-09,776,not-sustained
1056178,4535,10U,NS,600,Not Sustained,Unsustained,0,2234,17,1301,W 111TH PL,CHICAGO IL,2012-08-07 22:30:00,2012-08-08,2012-12-07,348,not-sustained
1059512,4536,07B,,600,No Affidavit,Unsustained,0,1034,17,2605,S CALIFORNIA AVE,CHICAGO IL 60623,2013-01-14 12:25:00,2013-01-14,2013-03-01,18,not-sustained
1072753,4537,,,,Unknown,Unknown,?,0631,17,8100,S RHODES AVE,CHICAGO IL 60619,2014-12-01 19:00:00,2014-12-01,,1213,open-investigation
1049836,4539,10Z,,600,No Affidavit,Unsustained,0,0234,14,1500,E 53RD ST,CHICAGO IL,2011-11-06 15:00:00,2011-11-06,2012-04-16,459,not-sustained
1055059,4540,04D,NS,600,Not Sustained,Unsustained,0,2515,04,5555,W GRAND AVE,CHICAGO IL 60639,2012-06-26 07:45:00,2012-06-26,2012-10-12,1340,not-sustained
1062488,4540,03D,,600,No Affidavit,Unsustained,0,,17,2918,W SUPERIOR ST,CHICAGO IL 60642,2013-05-24 01:00:00,2013-05-26,2013-07-18,750,not-sustained
1069979,4540,05A,NS,600,Not Sustained,Unsustained,0,1531,17,5150,W CHICAGO AVE,CHICAGO IL,2014-06-24 02:34:00,2014-06-24,2015-02-09,1156,not-sustained
1059741,4541,03D,NS,600,Not Sustained,Unsustained,0,1011,19,,,,2012-03-08 00:00:00,2013-01-25,2013-11-20,583,not-sustained
1053296,4541,05A,NS,600,Not Sustained,Unsustained,0,1014,19,,,,2012-04-13 00:00:00,2012-04-13,2014-01-24,657,not-sustained
1055517,4541,03C,,600,No Affidavit,Unsustained,0,1012,19,,,,2012-07-13 17:00:00,2012-07-13,2012-10-12,963,not-sustained
1064262,4541,03D,,600,No Affidavit,Unsustained,0,,17,1900,S ST LOUIS AV,,2013-08-14 21:45:00,2013-08-14,2013-10-22,1403,not-sustained
1065453,4541,03G,,600,No Affidavit,Unsustained,0,,17,1900,S ST. LOUIS,CHICAGO IL,2013-09-30 19:30:00,2013-10-10,2013-12-23,9,not-sustained
1068120,4541,03D,,600,No Affidavit,Unsustained,0,,17,,,,2014-03-21 00:00:00,2014-03-21,2014-04-24,9,not-sustained
1070229,4541,03G,,600,No Affidavit,Unsustained,0,1011,17,1341,S SPRINGFIELD AVE,CHICAGO IL 60623,2014-07-09 08:40:00,2014-07-09,2014-11-25,400,not-sustained
1045844,4542,05A,NS,600,Not Sustained,Unsustained,0,0434,17,10600,S CALHOUN AVE,CHICAGO IL 60617,2011-06-01 18:00:00,2011-06-02,2012-05-30,760,not-sustained
1046301,4542,03D,,600,No Affidavit,Unsustained,0,0431,17,9926,S VAN VLISSINGEN RD,CHICAGO IL,2011-06-13 23:30:00,2011-06-20,2011-10-18,833,not-sustained
1047505,4542,05A,NS,600,Not Sustained,Unsustained,0,0424,17,8214,S COLES AVE,CHICAGO IL,2011-08-06 01:19:00,2011-08-06,2014-04-11,251,not-sustained
1050365,4542,03D,,600,No Affidavit,Unsustained,0,0413,17,9043,S JEFFERY BLVD,CHICAGO IL 60617,2011-10-11 03:30:00,2011-11-30,2012-04-03,1138,not-sustained
1051436,4542,05A,NS,600,Not Sustained,Unsustained,0,0414,17,2300,E 79TH ST,CHICAGO IL,2012-01-24 00:30:00,2012-01-24,2014-09-23,690,not-sustained
1051624,4542,03D,NS,600,Not Sustained,Unsustained,0,0424,17,8859,S COMMERCIAL AVE,CHICAGO IL 60617,2011-12-15 21:40:00,2012-02-02,2012-07-10,1138,not-sustained
1051651,4542,03D,,600,No Affidavit,Unsustained,0,0523,17,12315,S YALE AVE,CHICAGO IL,2012-02-01 23:00:00,2012-02-02,2012-06-06,1138,not-sustained
1053160,4542,04J,,,Unknown,Unknown,?,0424,19,,,,2012-04-01 10:30:00,2012-04-09,2012-09-17,948,unknown
1054352,4542,05A,UN,600,Unfounded,Unsustained,0,0424,19,,,,2012-05-29 00:00:00,2012-05-29,2014-01-24,1213,not-sustained
