,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
19236,1044386,0.0,,,,Unknown,Unknown,?,1324.0,03,1501.0,W GRAND AVE,CHICAGO IL 60642,2011-03-31 00:00:00,2011-03-31,2011-05-20,1478.0,unknown
19237,1044388,0.0,,,,Unknown,Unknown,?,223.0,17,4700.0,S COTTAGE GROVE AVE,CHICAGO IL 60615,2011-03-29 00:00:00,2011-03-31,2011-10-17,1431.0,unknown
19238,1044400,0.0,,,,Unknown,Unknown,?,1024.0,04,3315.0,W OGDEN AVE,CHICAGO IL,2011-03-30 19:00:00,2011-03-31,2011-07-26,622.0,unknown
19239,1044401,0.0,,,,Unknown,Unknown,?,1422.0,17,1711.0,N KIMBALL AVE,CHICAGO IL,2011-03-31 19:20:00,2011-03-31,2011-06-15,690.0,unknown
19241,1044407,0.0,,,,Unknown,Unknown,?,621.0,05,7808.0,S HALSTED ST,CHICAGO IL 60620,2011-04-01 00:00:00,2011-04-01,2011-07-28,1240.0,unknown
19243,1044411,0.0,,,,Unknown,Unknown,?,735.0,17,7000.0,S ASHLAND AVE,CHICAGO IL 60639,2011-03-31 22:00:00,2011-04-01,2011-06-15,552.0,unknown
19244,1044415,0.0,,,,Unknown,Unknown,?,211.0,04,3510.0,S MICHIGAN AVE,CHICAGO IL 60653,2011-03-31 00:00:00,2011-04-01,2011-09-12,1301.0,unknown
19245,1044421,0.0,,,,Unknown,Unknown,?,1331.0,17,2800.0,W MADISON ST,CHICAGO IL 60612,2011-04-01 11:00:00,2011-04-01,2011-09-15,24.0,unknown
19246,1044431,0.0,,,,Unknown,Unknown,?,432.0,17,10635.0,S AVENUE N,CHICAGO IL 60617,2011-04-02 00:00:00,2011-04-02,2011-04-29,552.0,unknown
19247,1044432,0.0,,,,Unknown,Unknown,?,1024.0,04,3315.0,W OGDEN AVE,CHICAGO IL,2011-04-02 07:30:00,2011-04-02,2011-06-24,1317.0,unknown
19248,1044435,0.0,,,,Unknown,Unknown,?,1832.0,17,700.0,N STATE ST,CHICAGO IL 60654,2011-04-02 00:00:00,2011-04-02,2011-06-27,552.0,unknown
