centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9837877468, -87.664545721)",1654,16,19416,12.1 mi,"5617 N Glenwood Ave, Chicago, IL 60660, USA",41.9840075,-87.6645509,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2799,47 mins,02/25/2016
"(41.9837877468, -87.664545721)",1654,16,10933,6.8 mi,"5617 N Glenwood Ave, Chicago, IL 60660, USA",41.9840075,-87.6645509,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2861,48 mins,02/25/2016
"(41.9832618416, -87.679184384)",2432,24,20578,12.8 mi,"1900-1998 W Bryn Mawr Ave, Chicago, IL 60659, USA",41.9832632,-87.67918399999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3690,1 hour 2 mins,02/25/2016
"(41.9832618416, -87.679184384)",2432,24,11397,7.1 mi,"1900-1998 W Bryn Mawr Ave, Chicago, IL 60659, USA",41.9832632,-87.67918399999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3418,57 mins,02/25/2016
"(41.9834113072, -87.6982119866)",2022,20,22604,14.0 mi,"5601-5627 N Fairfield Ave, Chicago, IL 60659, USA",41.9834125,-87.6979465,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4330,1 hour 12 mins,02/25/2016
"(41.9834113072, -87.6982119866)",2022,20,12091,7.5 mi,"5601-5627 N Fairfield Ave, Chicago, IL 60659, USA",41.9834125,-87.6979465,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3989,1 hour 6 mins,02/25/2016
"(41.9865649114, -87.6561430367)",1622,16,19476,12.1 mi,"5737 N Kenmore Ave, Chicago, IL 60660, USA",41.9865678,-87.6559968,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2815,47 mins,02/25/2016
"(41.9865649114, -87.6561430367)",1622,16,14473,9.0 mi,"5737 N Kenmore Ave, Chicago, IL 60660, USA",41.9865678,-87.6559968,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3007,50 mins,02/25/2016
"(41.9751961155, -87.7777912259)",1614,16,29397,18.3 mi,"5141 N Austin Ave, Chicago, IL 60630, USA",41.9752231,-87.7777907,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3819,1 hour 4 mins,02/25/2016
"(41.9751961155, -87.7777912259)",1614,16,19717,12.3 mi,"5141 N Austin Ave, Chicago, IL 60630, USA",41.9752231,-87.7777907,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2947,49 mins,02/25/2016
"(41.9708152522, -87.8450563012)",1612,16,31183,19.4 mi,"5012-5024 N Leonard Dr, Norridge, IL 60706, USA",41.9708158,-87.84530420000002,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4014,1 hour 7 mins,02/25/2016
"(41.9708152522, -87.8450563012)",1612,16,21503,13.4 mi,"5012-5024 N Leonard Dr, Norridge, IL 60706, USA",41.9708158,-87.84530420000002,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2990,50 mins,02/25/2016
"(41.9702910027, -87.7589824548)",2412,24,22320,13.9 mi,"5231 W Strong St, Chicago, IL 60630, USA",41.970197,-87.7588598,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,3491,58 mins,02/25/2016
"(41.9702910027, -87.7589824548)",2412,24,12727,7.9 mi,"5231 W Strong St, Chicago, IL 60630, USA",41.970197,-87.7588598,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2234,37 mins,02/25/2016
"(41.9799455853, -87.6549006756)",2023,20,18775,11.7 mi,"5389-5405 N Sheridan Rd, Chicago, IL 60640, USA",41.979944,-87.6550741,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2698,45 mins,02/25/2016
"(41.9799455853, -87.6549006756)",2023,20,13631,8.5 mi,"5356 N Sheridan Rd, Chicago, IL 60640, USA",41.9797821,-87.655159,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2616,44 mins,02/25/2016
"(41.9758987664, -87.7286214614)",1712,17,21062,13.1 mi,"5221-5229 N Pulaski Rd, Chicago, IL 60630, USA",41.975905,-87.7282286,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,4045,1 hour 7 mins,02/25/2016
"(41.9758987664, -87.7286214614)",1712,17,11462,7.1 mi,"5221-5229 N Pulaski Rd, Chicago, IL 60630, USA",41.975905,-87.7282286,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2902,48 mins,02/25/2016
"(41.9765007759, -87.8043790356)",1613,16,27111,16.8 mi,"7051-7053 W Farragut Ave, Chicago, IL 60656, USA",41.9763424,-87.8043764,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,3862,1 hour 4 mins,02/25/2016
"(41.9765007759, -87.8043790356)",1613,16,17510,10.9 mi,"7051-7053 W Farragut Ave, Chicago, IL 60656, USA",41.9763424,-87.8043764,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2719,45 mins,02/25/2016
"(41.9799927814, -87.8286175929)",2433,24,27915,17.3 mi,"8028 W Gregory St, Chicago, IL 60656, USA",41.9802557,-87.8285144,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4139,1 hour 9 mins,02/25/2016
"(41.9799927814, -87.8286175929)",2433,24,18235,11.3 mi,"8028 W Gregory St, Chicago, IL 60656, USA",41.9802557,-87.8285144,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3267,54 mins,02/25/2016
"(41.9792704249, -87.9083958387)",1823,18,34996,21.7 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.97898989999999,-87.90616469999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,4023,1 hour 7 mins,02/25/2016
"(41.9792704249, -87.9083958387)",1823,18,25395,15.8 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.97898989999999,-87.90616469999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2880,48 mins,02/25/2016
