centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9899565181, -87.7287294801)",2431,24,16791,10.4 mi,"5893 N Pulaski Rd, Chicago, IL 60646, USA",41.9899526,-87.7286311,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1195,20 mins,02/25/2016
"(41.9837877468, -87.664545721)",1654,16,20838,12.9 mi,"5617 N Glenwood Ave, Chicago, IL 60660, USA",41.9840075,-87.6645509,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1467,24 mins,02/25/2016
"(41.9837877468, -87.664545721)",1654,16,14565,9.1 mi,"5617 N Glenwood Ave, Chicago, IL 60660, USA",41.9840075,-87.6645509,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1521,25 mins,02/25/2016
"(41.9832618416, -87.679184384)",2432,24,22000,13.7 mi,"1900-1998 W Bryn Mawr Ave, Chicago, IL 60659, USA",41.9832632,-87.67918399999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1652,28 mins,02/25/2016
"(41.9832618416, -87.679184384)",2432,24,10552,6.6 mi,"1900-1998 W Bryn Mawr Ave, Chicago, IL 60659, USA",41.9832632,-87.67918399999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1593,27 mins,02/25/2016
"(41.9834113072, -87.6982119866)",2022,20,21144,13.1 mi,"5601-5627 N Fairfield Ave, Chicago, IL 60659, USA",41.9834125,-87.6979465,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1898,32 mins,02/25/2016
"(41.9834113072, -87.6982119866)",2022,20,12955,8.0 mi,"5601-5627 N Fairfield Ave, Chicago, IL 60659, USA",41.9834125,-87.6979465,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1533,26 mins,02/25/2016
"(41.9865649114, -87.6561430367)",1622,16,20390,12.7 mi,"5737 N Kenmore Ave, Chicago, IL 60660, USA",41.9865678,-87.6559968,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1312,22 mins,02/25/2016
"(41.9865649114, -87.6561430367)",1622,16,14117,8.8 mi,"5737 N Kenmore Ave, Chicago, IL 60660, USA",41.9865678,-87.6559968,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1366,23 mins,02/25/2016
"(41.9751961155, -87.7777912259)",1614,16,22621,14.1 mi,"5141 N Austin Ave, Chicago, IL 60630, USA",41.9752231,-87.7777907,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1382,23 mins,02/25/2016
"(41.9751961155, -87.7777912259)",1614,16,14432,9.0 mi,"5141 N Austin Ave, Chicago, IL 60630, USA",41.9752231,-87.7777907,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1017,17 mins,02/25/2016
"(41.9708152522, -87.8450563012)",1612,16,29850,18.5 mi,"5012-5024 N Leonard Dr, Norridge, IL 60706, USA",41.9708158,-87.84530420000002,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1879,31 mins,02/25/2016
"(41.9708152522, -87.8450563012)",1612,16,21661,13.5 mi,"5012-5024 N Leonard Dr, Norridge, IL 60706, USA",41.9708158,-87.84530420000002,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1514,25 mins,02/25/2016
"(41.9702910027, -87.7589824548)",2412,24,21144,13.1 mi,"5231 W Strong St, Chicago, IL 60630, USA",41.970197,-87.7588598,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1330,22 mins,02/25/2016
"(41.9702910027, -87.7589824548)",2412,24,12955,8.0 mi,"5231 W Strong St, Chicago, IL 60630, USA",41.970197,-87.7588598,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,965,16 mins,02/25/2016
"(41.9799455853, -87.6549006756)",2023,20,19749,12.3 mi,"5389-5405 N Sheridan Rd, Chicago, IL 60640, USA",41.979944,-87.6550741,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1321,22 mins,02/25/2016
"(41.9799455853, -87.6549006756)",2023,20,13476,8.4 mi,"5389-5405 N Sheridan Rd, Chicago, IL 60640, USA",41.979944,-87.6550741,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1375,23 mins,02/25/2016
"(41.9758987664, -87.7286214614)",1712,17,22559,14.0 mi,"5221-5229 N Pulaski Rd, Chicago, IL 60630, USA",41.975905,-87.7282286,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1478,25 mins,02/25/2016
"(41.9758987664, -87.7286214614)",1712,17,14370,8.9 mi,"5221-5229 N Pulaski Rd, Chicago, IL 60630, USA",41.975905,-87.7282286,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1113,19 mins,02/25/2016
"(41.9765007759, -87.8043790356)",1613,16,25628,15.9 mi,"7051-7053 W Farragut Ave, Chicago, IL 60656, USA",41.9763424,-87.8043764,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1576,26 mins,02/25/2016
"(41.9765007759, -87.8043790356)",1613,16,17439,10.8 mi,"7051-7053 W Farragut Ave, Chicago, IL 60656, USA",41.9763424,-87.8043764,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1211,20 mins,02/25/2016
"(41.9799927814, -87.8286175929)",2433,24,27280,17.0 mi,"8028 W Gregory St, Chicago, IL 60656, USA",41.9802557,-87.8285144,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1646,27 mins,02/25/2016
"(41.9799927814, -87.8286175929)",2433,24,19091,11.9 mi,"8028 W Gregory St, Chicago, IL 60656, USA",41.9802557,-87.8285144,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1282,21 mins,02/25/2016
"(41.9792704249, -87.9083958387)",1823,18,34574,21.5 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.9789379,-87.9060745,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1996,33 mins,02/25/2016
"(41.9792704249, -87.9083958387)",1823,18,26385,16.4 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.9789379,-87.9060745,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1632,27 mins,02/25/2016
"(41.972868091, -87.6516923477)",2413,24,18752,11.7 mi,"800-840 W Margate Terrace, Chicago, IL 60640, USA",41.972453,-87.6516704,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1267,21 mins,02/25/2016
